patient_id,assigned_sex,given_name,surname,address,city,state,zip_code,country,birthdate,weight,height,bmi,phone,email
30,male,jake,jakobsen,648 Old Dear Lane,Port Jervis,New York,12771,United States,1985-08-01,155.8,67,24.4,"('+1 ', '(845) 858-7707')",JakobCJakobsen@einrot.com
31,female,janina,bazarova,3259 Roy Alley,Englewood,CO,80112,United States,1964-06-29,156.9,65,26.1,"('', '303-910-2058')",JaninaBazarova@superrito.com
32,male,tomáš,navrátil,4870 Corbin Branch Road,Bluff City,TN,37618,United States,1935-04-08,133.3,70,19.1,"('', '423-538-4887')",TomasNavratil@dayrep.com
33,female,một,phạm,2690 Pin Oak Drive,Long Beach,CA,90815,United States,1997-01-30,147.6,69,21.8,"('', '562-985-4582')",PhamThiBichMot@dayrep.com
34,male,habte,kifle,2055 Emeral Dreams Drive,Dekalb,Illinois,60115,United States,1946-01-20,153.8,72,20.9,"('', '815-270-7770')",HabteKifle@fleckens.hu
35,female,mariana,souza,577 Chipmunk Lane,Orrington,ME,04474,United States,1948-03-06,152.9,63,27.1,"('', '207-825-8634')",MarianaGomesSouza@superrito.com
36,female,kamila,pecinová,3558 Longview Avenue,New York,New York,10004,United States,1985-12-23,198.9,62,36.4,"('', '718-501-0503')",KamilaPecinova@dayrep.com
37,female,naja,enoksen,2915 Lynn Avenue,Eau Claire,WI,54701,United States,1931-11-26,156.4,66,25.2,"('', '715-562-7013')",NajaEnoksen@fleckens.hu
38,female,albinca,komavec,1257 Elsie Drive,Huron,SD,57350,United States,1986-06-05,189.9,66,30.6,"('+1 ', '(605) 204-6572')",AlbincaKomavec@rhyta.com
39,female,genet,fesahaye,4649 Joanne Lane,Westborough,MA,01581,United States,1954-01-11,111.8,67,17.5,"('', '978 460 9060')",GenetFesahaye@armyspy.com1
40,female,ganimete,ščančar,4105 Ferguson Street,Walpole,MA,02081,United States,1947-10-25,191.6,67,30.0,"('', '508-454-2027')",GanimeteScancar@cuvox.de
41,male,tješimir,lukić,3636 Junior Avenue,Atlanta,GA,30303,United States,1941-10-24,147.8,70,21.2,"('', '404 547 4508')",TjesimirLukic@jourrapide.com1
42,male,fakhri,fakhoury,155 Red Hawk Road,Danube,MN,56230,United States,1979-11-04,143.0,66,23.1,"('', '320-826-3340')",FakhriHaniFakhoury@cuvox.de
43,female,mizuki,iwata,3434 Holt Street,West Palm Beach,FL,33409,United States,1927-06-30,199.1,61,37.6,"('', '561-357-0702')",MizukiIwata@gustr.com
44,female,zizi,schmitt,669 Archwood Avenue,Mountain View,WY,82939,United States,1968-02-09,198.9,67,31.1,"('', '307 712 0508')",SchmittZizi@fleckens.hu1
45,female,blanka,jurković,3165 Upton Avenue,Waterville,ME,04901,United States,1923-01-26,129.8,66,20.9,"('', '207 861 4587')",BlankaJurkovic@superrito.com1
46,female,liisa,seppälä,1012 Lords Way,Adamsville,TN,38310,United States,1930-02-15,157.7,63,27.9,"('', '731 632 2908')",LiisaSeppala@einrot.com1
47,male,javier,moquin,1808 Stuart Street,Pittsburgh,PA,15201,United States,1941-08-07,163.9,72,22.2,"('', '724-419-3583')",JavierMoquin@rhyta.com
48,female,ana,correia,1495 Post Farm Road,Atlanta,GA,30337,United States,1962-11-04,186.6,65,31.0,"('', '404-289-1766')",AnaSousaCorreia@rhyta.com
49,female,annika,vaara,4853 University Drive,Lombard,IL,60148,United States,1996-02-20,109.1,67,17.1,"('', '312-719-7238')",AnnikaVaara@rhyta.com
50,female,vivien,zsinkó,4141 Davis Place,Maumee,OH,43537,United States,1974-03-06,113.3,64,19.4,"('', '419-262-6953')",ZsinkoVivien@teleworm.us
51,male,stephen,gibson,283 Simons Hollow Road,Wilkes Barre,PA,18701,United States,1991-04-25,238.9,70,34.3,"('', '570-819-1140')",StephenGibson@cuvox.de
52,female,noe,aranda,3977 Jail Drive,Davenport,Illinois,52801,United States,1938-08-07,107.1,63,19.0,"('', '309 912 9553')",NoeArandaGranado@dayrep.com1
53,female,brianna,lansell,1389 Nutters Barn Lane,Urbandale,IA,50322,United States,1950-12-04,202.0,62,36.9,"('', '515-727-9324')",BriannaLansell@fleckens.hu
54,male,kwemtochukwu,ogochukwu,2172 Lynn Street,Franklin,MA,02038,United States,1976-06-30,150.5,72,20.4,"('', '617-317-5055')",KwemtochukwuOgochukwu@einrot.com
55,female,louise,johnson,4984 Hampton Meadows,Burlington,MA,01803,United States,1931-03-01,141.0,62,25.8,"('', '978-407-1874')",LouiseJohnson@rhyta.com
56,male,anco,pak,943 Hickory Ridge Drive,Las Vegas,NV,89119,United States,1943-02-12,217.6,72,29.5,"('', '702 730 5584')",AncoPak@cuvox.de1
57,female,alissa,montez,1435 Limer Street,Eatonton,GA,31024,United States,1951-01-08,133.8,61,25.3,"('+1 ', '(706) 497-0891')",AlissaMontezFranco@gustr.com
58,female,siebrigje,koldenhof,34 Hamill Avenue,La Mesa,California,91941,United States,1935-05-24,134.0,60,26.2,"('', '858-413-3163')",SiebrigjeKoldenhof@rhyta.com
59,female,yasmin,araujo,3682 Stiles Street,Pittsburgh,PA,15205,United States,1981-03-21,196.0,67,30.7,"('', '412-640-7035')",YasminCardosoAraujo@superrito.com
60,male,avdei,tikhonov,1368 Yorkshire Circle,Wilson,NC,27893,United States,1928-12-10,150.0,72,20.3,"('', '252 291 3898')",AvdeiTikhonov@gustr.com1
61,female,barbora,vesecká,4018 Poplar Avenue,San Diego,CA,92101,United States,1939-02-19,159.1,67,24.9,"('', '619-570-3898')",BarboraVesecka@gustr.com
62,male,alan,milne,707 Gateway Avenue,Bakersfield,California,93301,United States,1962-04-29,244.9,69,36.2,"('', '661 779 6795')",AlanMilne@dayrep.com1
63,female,firenze,fodor,1786 Gerald L. Bates Drive,Belmont,MA,02178,United States,1943-04-01,131.1,60,25.6,"('', '617-883-5967')",FodorFirenze@dayrep.com
64,male,yukitaka,takenaka,1975 Holden Street,San Diego,California,92103,United States,1944-11-24,193.2,72,26.2,"('', '619-299-1495')",YukitakaTakenaka@einrot.com
65,male,jaakko,eskelinen,4324 Oak Street,Syracuse,NY,13221,United States,1971-02-26,163.7,68,24.9,"('+1 ', '(315) 362-5858')",JaakkoEskelinen@superrito.com
66,male,nicolas,ferreira,2310 Overlook Drive,Rossville,IN,46065,United States,1976-10-27,211.9,69,31.3,"('', '765-379-3885')",NicolasSouzaFerreira@superrito.com
67,male,konstantyn,kowalczyk,4707 Parkway Street,San Diego,California,92103,United States,1938-03-02,194.3,67,30.4,"('', '760-287-8295')",KonstantynKowalczyk@armyspy.com
68,male,nebechi,ekechukwu,2418 Smith Street,Marlboro,MA,01752,United States,1945-01-11,154.9,64,26.6,"('', '508-804-4850')",NebechiEkechukwu@teleworm.us
69,female,haruna,azuma,1507 Woodlawn Drive,Milwaukee,WI,53204,United States,1978-02-22,149.8,63,26.5,"('', '414-646-4353')",HarunaAzuma@gustr.com
70,male,joseph,day,1821 Virginia Street,Lombard,IL,60148,United States,1986-02-23,150.6,68,22.9,"('+1 ', '(773) 615-9328')",JosephMDay@teleworm.us
71,male,alexander,mathiesen,3130 Jessie Street,Athens,OH,45701,United States,1955-12-02,195.6,68,29.7,"('', '740 629 5172')",AlexanderEMathiesen@superrito.com1
72,male,leuco,miranda,90 Meadow View Drive,Hartford,CT,06103,United States,1976-02-02,184.8,72,25.1,"('', '860-515-0122')",LeucoMirandaNieto@teleworm.us
73,male,søren,frederiksen,4852 Rose Avenue,Metairie,LA,70001,United States,1931-02-12,214.5,65,35.7,"('', '504-289-1386')",SrenFrederiksen@armyspy.com
74,female,žarka,rap,2661 Russell Street,Foxboro,MA,02035,United States,1995-12-28,139.3,68,21.2,"('', '978-969-6753')",ZarkaRap@superrito.com
75,female,hanka,gegič,192 Patton Lane,Tulsa,OK,74106,United States,1926-01-20,103.2,61,19.5,"('', '918-975-7594')",HankaGegic@fleckens.hu
76,male,leo,mancini,1813 Lindale Avenue,Fremont,California,94538,United States,1964-09-26,195.1,68,29.7,"('+1 ', '(510) 498-6624')",LeoMancini@rhyta.com
77,female,maryam,dratchev,3314 Rocket Drive,Minneapolis,MN,55410,United States,1983-01-15,190.1,63,33.7,"('', '612-925-3123')",MaryamDratchev@superrito.com
78,female,rut,halldórsdóttir,1054 Zappia Drive,Lexington,KY,40507,United States,1959-05-09,162.6,66,26.2,"('', '859-297-3368')",RutHalldorsdottir@einrot.com
79,female,fauna,bilodeau,4104 Kennedy Court,Mansfield,MA,02048,United States,1979-07-02,193.4,69,28.6,"('', '774 263 5317')",FaunaBilodeau@teleworm.us1
80,male,eniz,konovšek,783 Callison Lane,Philadelphia,DE,19108,United States,1967-06-23,183.9,72,24.9,"('', '302-397-6035')",EnizKonovsek@superrito.com
81,male,eufemio,rosario,2531 Cantebury Drive,Westbury,New York,11590,United States,1923-02-28,183.7,71,25.6,"('+1 ', '(646) 621-0640')",EufemioRosarioAlarcon@gustr.com
82,male,andré,nordin,836 Dovetail Estates,Gate,OK,73844,United States,1940-11-12,209.4,69,30.9,"('', '580-934-1141')",AndreNordin@cuvox.de
83,female,châu,thạch,4814 Layman Court,Atlanta,GA,30346,United States,1999-03-03,171.4,60,33.5,"('', '678-350-2390')",ThachThiKieuChau@superrito.com
84,male,chen,yao,2566 Ingram Street,Dayton,OH,45407,United States,1975-11-08,214.7,76,26.1,"('', '937-523-1224')",ChenYao@teleworm.us
85,female,nương,vũ,465 Southern Street,New York,NY,10001,United States,1981-02-01,138.2,63,24.5,"('', '516-720-5094')",VuCamNuong@fleckens.hu
86,male,burrell,mathieu,3816 Grand Avenue,Kissimmee,Florida,34746,United States,1936-05-16,203.5,71,28.4,"('', '407-662-9389')",BurrellMathieu@teleworm.us
87,male,philemon,abdulov,1341 Chatham Way,Temple Hills,MD,20031,United States,1943-07-07,171.4,70,24.6,"('', '240-695-5212')",PhilemonAbdulov@rhyta.com
88,male,magomed,kadyrov,2063 Newton Street,Ogilvie,MN,56358,United States,1980-11-15,176.9,67,27.7,"('', '320-272-4299')",MagomedKadyrov@jourrapide.com
89,male,marius,hansen,3251 Radio Park Drive,Augusta,GA,30902,United States,1948-06-27,227.7,76,27.7,"('', '706-755-5723')",MariusHansen@teleworm.us
90,male,kwasi,mensa,479 Elmwood Avenue,Tempe,AZ,85281,United States,1942-10-05,145.4,69,21.5,"('+1 ', '(480) 967-6336')",KwasiMensa@cuvox.de
91,male,ingo,rokavc,4271 Cherry Ridge Drive,Buffalo,New York,14214,United States,1977-08-27,192.3,67,30.1,"('+1 ', '(585) 902-9127')",IngoRokavc@superrito.com
92,female,caroline,shuler,1403 Clousson Road,Houston,TX,77002,United States,1949-03-08,218.7,66,35.3,"('', '713-230-1739')",CarolineTShuler@jourrapide.com
93,male,michael,smith,666 Whiteman Street,Mount Holly,NJ,08060,United States,1977-09-17,160.6,67,25.2,"('', '609-914-8473')",MichaelSmith@armyspy.com
94,male,elliot,richardson,4230 Ridenour Street,Sunrise,FL,33323,United States,1973-01-14,168.1,71,23.4,"('', '786-234-0038')",ElliotRichardson@teleworm.us
95,female,gina,cain,3418 Tyler Avenue,Miami,Florida,33106,United States,1935-07-14,144.1,60,28.1,"('', '305-361-8416')",GinaACain@armyspy.com
96,male,sargent,ruais,1009 Felosa Drive,Blackwell,TX,79506,United States,1942-01-01,205.3,72,27.8,"('', '325-282-4087')",SargentRuais@jourrapide.com
97,female,nasim,salib,3161 Fantages Way,Presque Isle,ME,04769,United States,1971-07-30,211.4,65,35.2,"('', '207-768-0477')",NasimSumaiyaSalib@einrot.com
98,male,patrick,gersten,2778 North Avenue,Burr,NE,68324,United States,1954-05-03,138.2,71,19.3,"('', '402-848-4923')",PatrickGersten@rhyta.com
99,male,jan,baum,1733 Blackwell Street,Fairbanks,AK,99701,United States,1967-11-06,194.3,74,24.9,"('+1 ', '(907) 328-4125')",JanBaum@superrito.com
100,male,bernd,schneider,1262 Deans Lane,Westbury,New York,11590,United States,1993-03-24,212.5,71,29.6,"('', '914-830-3940')",BerndSchneider@jourrapide.com
101,male,isac,berg,1497 Hidden Meadow Drive,Binford,ND,58416,United States,1995-08-01,137.9,66,22.3,"('', '701-676-6301')",IsacBerg@cuvox.de
102,male,oles,zhdanov,1731 Chandler Drive,Fordland,MO,65652,United States,1945-10-25,226.2,72,30.7,"('', '417-738-5084')",OlesZhdanov@fleckens.hu
103,female,najla,touma,2146 Willow Greene Drive,Montgomery,AL,36104,United States,1948-08-20,165.0,61,31.2,"('+1 ', '(334) 261-1235')",NajlaQismahTouma@cuvox.de
104,male,tico,koffeman,1030 McDonald Avenue,Maitland,Florida,32751,United States,1926-04-20,167.6,69,24.7,"('+1 ', '(407) 838-0201')",TicoKoffeman@armyspy.com
105,female,yasmin,silva,108 Griffin Street,Phoenix,AZ,85012,United States,1927-07-24,200.6,62,36.7,"('', '602 265 7408')",YasminAlmeidaSilva@einrot.com1
106,male,nate,bowden,4310 Johnson Street,Clinton,NC,28328,United States,1954-03-26,222.0,71,31.0,"('', '919-915-8670')",NateBowden@einrot.com
107,male,inunnguaq,heilmann,4110 Capitol Avenue,New Castle,IN,47362,United States,1976-05-06,219.9,67,34.4,"('', '765 599 8847')",InunnguaqHeilmann@rhyta.com1
108,male,rocco,christie,1373 Wilmar Farm Road,Mount Airy,MD,21771,United States,1987-01-16,167.0,70,24.0,"('', '240-322-1398')",RoccoChristie@rhyta.com
109,female,marina,glockner,475 Preston Street,Bushton,KS,67427,United States,1934-06-18,191.4,63,33.9,"('', '620 940 1131')",MarinaGlockner@dayrep.com1
110,male,stephen,mayberry,3063 School House Road,Hattiesburg,MS,39402,United States,1934-09-01,166.1,72,22.5,"('', '601-699-4153')",StephenFMayberry@jourrapide.com
111,male,miroslav,štěpánek,2625 Romines Mill Road,Dallas,TX,75247,United States,1935-09-23,146.1,68,22.2,"('+1 ', '(214) 637-0855')",MiroslavStepanek@teleworm.us
112,female,nicole,zimmerman,909 Williams Avenue,Newhall,California,91321,United States,1984-01-14,225.9,74,29.0,"('', '661-291-1812')",NicoleZimmerman@rhyta.com
113,female,arnþrúður,skarphéðinsdóttir,2578 Tenmile,Newport News,VA,23602,United States,1922-06-04,172.0,63,30.5,"('+1 ', '(757) 885-5669')",ArnruurSkarpheinsdottir@rhyta.com
114,female,svanhvít,guðjónsdóttir,2641 Michael Street,Houston,TX,77074,United States,1931-07-23,204.2,63,36.2,"('', '713 779 6516')",SvanhvitGujonsdottir@cuvox.de1
115,male,yunadi,barsukov,2784 Turkey Pen Road,Manhattan,New York,10016,United States,1993-05-28,176.2,68,26.8,"('', '917-256-5329')",YunadiBarsukov@teleworm.us
116,female,caroline,bois,1350 Meadow Lane,Lakeport,California,95453,United States,1985-12-26,151.4,64,26.0,"('', '707 262 6503')",CarolineBois@rhyta.com1
117,male,philipp,ziegler,3686 Meadowcrest Lane,Allen,KY,41601,United States,1941-03-03,143.7,69,21.2,"('', '606-417-4332')",PhilippZiegler@superrito.com
118,male,sửu,tạ,3464 Big Indian,New Orleans,LA,70112,United States,1928-05-24,182.2,67,28.5,"('+1 ', '(504) 528-8317')",TaQuiSuu@teleworm.us
119,male,adib,ghanem,3457 Bridge Avenue,Delcambre,LA,70528,United States,1967-12-31,254.5,72,34.5,"('', '337-685-4885')",AdibMutazzGhanem@fleckens.hu
120,female,chaja,bouw,2808 Circle Drive,Houston,TX,77063,United States,1979-09-16,211.9,70,30.4,"('', '832-457-6625')",ChajaBouw@dayrep.com
121,female,nicoline,østergaard,2836 Boring Lane,San Francisco,CA,94108,United States,1926-12-14,124.5,63,22.1,"('', '415-676-8818')",NicolinePstergaard@superrito.com
122,male,frydryk,adamski,1845 Saint Marys Avenue,Syracuse,New York,13221,United States,1941-10-12,230.8,76,28.1,"('', '315 869 4408')",FrydrykAdamski@armyspy.com1
123,male,bội,tạ,2389 Rubaiyat Road,Grand Rapids,MI,49503,United States,1929-05-30,211.0,69,31.2,"('', '231-607-3625')",TaHaBoi@superrito.com
124,male,tas,fejes,4386 Badger Pond Lane,Tampa,FL,33634,United States,1982-12-02,193.2,66,31.2,"('', '727-331-8429')",FejesTas@jourrapide.com
125,male,ming,hsu,2945 Ferguson Street,Quincy,MA,02169,United States,1960-11-04,215.6,69,31.8,"('+1 ', '(508) 526-3432')",MingHsu@armyspy.com
126,female,seweryna,czerwinska,36 Heather Sees Way,Tulsa,OK,74119,United States,1982-06-30,203.5,63,36.0,"('', '918-714-7543')",SewerynaCzerwinska@jourrapide.com
127,male,mads,nielsen,1493 Randolph Street,Boston,MA,02210,United States,1942-05-19,137.1,68,20.8,"('', '508-739-5632')",MadsANielsen@jourrapide.com
128,female,lena,baer,272 Boone Crockett Lane,Elma,WA,98541,United States,1977-11-10,170.7,61,32.2,"('', '360-482-2553')",LenaBaer@rhyta.com
129,male,muhammad,hughes,1965 Crestview Manor,Indianapolis,IN,46214,United States,1938-09-21,202.2,72,27.4,"('', '317 292 2394')",MuhammadHughes@rhyta.com1
130,female,rebecca,jephcott,989 Wayback Lane,New York,NY,10004,United States,1966-08-01,203.3,65,33.8,"('', '631-370-7406')",RebeccaJephcott@armyspy.com
131,male,albert,wolfe,3710 Jerry Dove Drive,North Charleston,SC,29420,United States,1939-06-16,217.8,65,36.2,"('', '843-494-0313')",AlbertRWolfe@jourrapide.com
132,female,sandra,taylor,2476 Fulton Street,Rainelle,WV,25962,United States,1960-10-23,206.1,64,35.4,"('', '304-438-2648')",SandraCTaylor@dayrep.com
133,female,tekla,walczak,2421 Coal Road,Lake Ariel,PA,18436,United States,1936-07-22,159.9,59,32.3,"('', '570-698-4203')",TeklaWalczak@einrot.com
134,female,elisabeth,dimmen,3180 Still Pastures Drive,Columbia,SC,29210,United States,1985-04-21,199.5,65,33.2,"('+1 ', '(803) 465-3312')",ElisabethDimmen@cuvox.de
135,male,jesse,luoma,3714 Ben Street,Albany,New York,12207,United States,1922-06-01,154.9,66,25.0,"('+1 ', '(518) 212-7081')",JesseLuoma@fleckens.hu
136,male,willem-jan,van der lubbe,1717 Vineyard Drive,Cleveland,OH,44115,United States,1941-07-09,152.9,69,22.6,"('', '440-385-5011')",Willem-JanvanderLubbe@gustr.com
137,female,victoria,mikkelsen,2121 Liberty Avenue,Los Angeles,California,90017,United States,1925-05-07,179.3,63,31.8,"('', '714-507-4204')",VictoriaTMikkelsen@armyspy.com
138,female,emma,barlow,1703 Everette Alley,Pompano Beach,Florida,33062,United States,1953-01-25,175.6,60,34.3,"('', '954-784-6658')",EmmaBarlow@superrito.com
139,male,jose,combs,718 Eden Drive,Richmond,VA,23220,United States,1975-12-27,171.2,74,22.0,"('', '804-908-1436')",JoseRCombs@rhyta.com
140,female,novalie,berg,1275 Goldie Lane,Cincinnati,OH,45202,United States,1973-04-22,156.9,61,29.6,"('+1 ', '(513) 383-0516')",NovalieBerg@gustr.com
141,male,john,teichelmann,631 Isaacs Creek Road,Decatur,IL,62522,United States,1958-12-03,214.1,72,29.0,"('', '217-421-0935')",JohnTeichelmann@dayrep.com
142,female,evelyn,uspenskaya,944 Thrash Trail,Dallas,TX,75207,United States,1934-10-25,110.2,61,20.8,"('', '903-644-2098')",EvelynUspenskaya@rhyta.com
143,male,finley,chandler,2754 Westwood Avenue,New York,New York,10001,United States,1936-10-25,150.9,70,21.6,"('', '516-740-5280')",FinleyChandler@dayrep.com
144,female,amanda,ribeiro,4155 Raccoon Run,Seattle,WA,98109,United States,1970-09-27,131.1,60,25.6,"('', '206-902-0473')",AmandaCavalcantiRibeiro@fleckens.hu
145,male,mile,stanić,4640 Windy Ridge Road,Fort Wayne,IN,46804,United States,1961-10-31,244.9,71,34.2,"('', '260-591-5755')",MileStanic@dayrep.com
146,male,sauli,koivuniemi,1990 Spring Avenue,Eagleville,PA,19403,United States,1974-07-24,170.9,66,27.6,"('+1 ', '(267) 679-4137')",SauliKoivuniemi@einrot.com
147,male,haylom,nebay,1736 Parrill Court,East Chicago,IN,46312,United States,1963-09-01,185.9,70,26.7,"('', '219 391 7729')",HaylomNebay@gustr.com1
148,male,kristian,vukelić,4411 Libby Street,West Los Angeles,California,90025,United States,1958-11-30,191.4,66,30.9,"('', '310-268-6864')",KristianVukelic@teleworm.us
149,female,riëtte,scheltens,4473 Church Street,Brooklyn,NY,11227,United States,1940-09-30,198.4,67,31.1,"('', '718-418-0766')",RietteScheltens@dayrep.com
150,male,wawrzyniec,nowakowski,1525 Crestview Terrace,Mountain Home,TX,78058,United States,1937-09-18,170.5,71,23.8,"('', '830-640-5848')",WawrzyniecNowakowski@teleworm.us
151,male,felicijan,bubanj,4556 Oakdale Avenue,Dundee,Florida,33838,United States,1957-05-22,226.6,71,31.6,"('', '863-438-6922')",FelicijanBubanj@einrot.com
152,female,satsita,batukayev,2813 Frederick Street,Citrus Heights,California,95610,United States,1953-02-17,219.6,66,35.4,"('', '916-224-7868')",SatsitaBatukayev@teleworm.us
153,male,christopher,woodward,3450 Southern Street,New York,NY,10004,United States,1984-09-04,212.2,66,34.2,"('+1 ', '(516) 630-5900')",ChristopherWoodward@jourrapide.com
154,male,john,carreiro,1463 Martha Ellen Drive,Reno,NV,89509,United States,1976-04-08,177.8,68,27.0,"('', '775 770 7827')",JohnACarreiro@superrito.com1
155,female,maya,isaksson,1333 Comfort Court,Madison,WI,53711,United States,1959-07-14,137.7,67,21.6,"('', '608 277 0146')",MayaIsaksson@jourrapide.com1
156,female,nina,geisler,350 Ross Street,East Saint Louis,Illinois,62201,United States,1924-09-05,193.2,66,31.2,"('', '618-261-9896')",NinaGeisler@einrot.com
157,male,thống,lê,174 Lost Creek Road,Roseville,MN,55113,United States,1929-02-09,172.9,68,26.3,"('+1 ', '(612) 208-2965')",LeVietThong@gustr.com
158,female,ellen,luman,4643 Reeves Street,Chilton,WI,53014,United States,1951-02-26,184.6,60,36.0,"('', '920-849-0384')",EllenRLuman@einrot.com
159,male,chibuzo,okoli,4291 Patton Lane,Tulsa,OK,74136,United States,1983-06-14,142.8,73,18.8,"('+1 ', '(918) 971-5864')",ChibuzoOkoli@einrot.com
160,female,coralie,allaire,1066 Goosetown Drive,Sylva,NC,28779,United States,1925-03-04,149.4,66,24.1,"('+1 ', '(828) 586-5050')",CoralieAllaire@armyspy.com
161,male,flaviano,endrizzi,3209 Crowfield Road,Phoenix,AZ,85023,United States,1928-10-11,195.1,75,24.4,"('', '602-993-7880')",FlavianoEndrizzi@cuvox.de
162,male,mitsunobu,fujiwara,212 Tibbs Avenue,Chester,MT,59522,United States,1969-05-21,223.5,67,35.0,"('', '406-759-6160')",MitsunobuFujiwara@armyspy.com
163,female,sarina,tabata,4646 Highland View Drive,Sacramento,CA,95814,United States,1967-04-21,201.7,63,35.7,"('', '916-555-7247')",SarinaTabata@teleworm.us
164,female,hawra',tuma,2972 Hillview Street,Winnsboro,SC,29180,United States,1992-09-29,134.2,69,19.8,"('', '803-712-1180')",HawraSultanahTuma@superrito.com
